county,state,year,number_of_crimes,geometry,crime_ranking
Washington,WI,2012,3,POINT (-88.4027564 44.8103531),0.9990421455938696
Chatham,GA,2014,34,POINT (-83.4169105 33.9980577),0.9841954022988506
Twin Falls,ID,2014,4,POINT (-114.4700684 42.5558542),0.9985632183908046
St. Clair,MI,2014,5,POINT (-82.4864138 42.8254954),0.9980842911877394
Ramsey,MN,2014,20,POINT (-93.4605008 45.2320595),0.9909003831417624
Ozark,MO,2014,1,POINT (-93.2052833 37.0207065),1.0
Carteret,NC,2014,2,POINT (-77.0630033 34.6915509),0.9995210727969348
Dona Ana,NM,2014,14,POINT (-106.814013 32.3894359),0.9937739463601531
Broome,NY,2014,4,POINT (-74.307222 42.509167),0.9985632183908046
El Paso,TX,2014,28,POINT (-106.4870404 31.7601164),0.9870689655172412
Gregg,TX,2014,11,POINT (-97.5904291 30.3955045),0.9952107279693486
Sawyer,WI,2014,2,POINT (-87.8815038 43.0577105),0.9995210727969348
Tom Green,TX,1997,1,POINT (-97.7337686 30.2943657),1.0
Yankton,SD,2001,1,POINT (-97.3967011 42.8712938),1.0
Wayne,NY,2002,2,POINT (-77.1055262 42.4709046),0.9995210727969348
Hays,TX,2002,2,POINT (-97.8722281 30.1227118),0.9995210727969348
Henderson,NC,2003,3,POINT (-78.4027265 36.3273648),0.9990421455938696
Wayne,NY,2003,1,POINT (-77.1055262 42.4709046),1.0
Orangeburg,SC,2003,16,POINT (-80.8556476 33.4918203),0.992816091954023
Butler,OH,2005,6,POINT (-82.4258375 40.5886946),0.9976053639846744
Kootenai,ID,2007,1,POINT (-116.513525 48.3102038),1.0
Menominee,WI,2008,2,POINT (-88.7347165 44.9762963),0.9995210727969348
Palo Pinto,TX,2011,4,POINT (-98.2993631 32.7668959),0.9985632183908046
Neosho,KS,2013,1,POINT (-95.9919352 38.3694601),1.0
Walton,GA,2012,3,POINT (-81.9309906 33.4598249),0.9990421455938696
Robertson,TN,2012,3,POINT (-88.7186641 35.2656375),0.9990421455938696
Plaquemines,LA,2014,1,POINT (-89.9770284 29.8966836),1.0
Susquehanna,PA,1995,1,POINT (-75.6041902 41.9439867),1.0
Snohomish,WA,1995,13,POINT (-122.0955144 47.9113592),0.9942528735632185
Kanawha,WV,1995,13,POINT (-81.4601209 39.1989653),0.9942528735632185
Ashley,AR,1996,3,POINT (-92.3756192 34.7589782),0.9990421455938696
Yavapai,AZ,1996,4,POINT (-112.3835 34.5616911),0.9985632183908046
Porter,IN,1996,2,POINT (-87.0741735 41.6156584),0.9995210727969348
Clay,KY,1996,2,POINT (-87.8200159 37.4767119),0.9995210727969348
Presque Isle,MI,1996,1,POINT (-83.476925 45.304182),1.0
Monroe,NY,1996,52,POINT (-74.1866348 41.3304767),0.975574712643678
Georgetown,SC,1996,9,POINT (-79.2944965 33.376834),0.9961685823754788
Camp,TX,1996,2,POINT (-101.5987752 36.6053331),0.9995210727969348
Jackson,LA,1997,1,POINT (-91.2176087 30.8374036),1.0
Washington,MN,1997,1,POINT (-92.3387786 43.7757967),1.0
Ravalli,MT,1997,2,POINT (-114.1672423 47.2767785),0.9995210727969348
Brazoria,TX,1997,3,POINT (-95.5691126 29.0444147),0.9990421455938696
Hale,TX,1997,2,POINT (-101.844368 34.0644671),0.9995210727969348
Orange,VT,1997,2,POINT (-72.4024685 44.1486411),0.9995210727969348
Chippewa,WI,1997,2,POINT (-90.7061788 46.0281374),0.9995210727969348
Carroll,AR,1998,2,POINT (-93.5844917 36.3798693),0.9995210727969348
Natchitoches,LA,1998,2,POINT (-93.0860209 31.7606732),0.9995210727969348
Plymouth,MA,1998,7,POINT (-70.6673851 41.9583799),0.9971264367816092
Jackson,MS,1998,6,POINT (-90.1830408 32.2998686),0.9976053639846744
Union,NC,1998,11,POINT (-80.7234025 34.9815382),0.9952107279693486
Seneca,OH,1998,1,POINT (-83.1688084 41.2092206),1.0
Jackson,TX,1998,2,POINT (-94.0599144 31.9340574),0.9995210727969348
Charlotte,VA,1998,2,POINT (-78.638334 37.0565362),0.9995210727969348
Coahoma,MS,1999,1,POINT (-90.5231561 34.3667731),1.0
Marion,SC,1999,2,POINT (-79.4006069 34.178216),0.9995210727969348
Liberty,TX,1999,2,POINT (-94.7971809 30.0609147),0.9995210727969348
Hinds,MS,2000,39,POINT (-90.2208923 32.3790871),0.9818007662835248
Chenango,NY,2000,1,POINT (-75.8979428 42.197622),1.0
Washington,OK,2000,2,POINT (-97.4845861 35.0589697),0.9995210727969348
Marshall,TN,2000,1,POINT (-82.66099 36.5728768),1.0
Mathews,VA,2000,1,POINT (-76.32107 37.4337395),1.0
St. Francis,AR,2001,9,POINT (-90.141365 36.4543164),0.9961685823754788
Jones,TX,2001,1,POINT (-102.3591536 31.8528072),1.0
Waller,TX,2001,1,POINT (-95.9250516 30.0640003),1.0
Augusta,VA,2001,3,POINT (-78.6377912 39.2953787),0.9990421455938696
Wise,VA,2001,4,POINT (-82.5757108 36.9759345),0.9985632183908046
Adair,MO,2002,1,POINT (-92.3765782 40.2522575),1.0
Umatilla,OR,2002,1,POINT (-119.342517 45.9173549),1.0
St. Lucie,FL,2004,9,POINT (-80.3503283 27.2939333),0.9961685823754788
Seward,KS,2004,3,POINT (-98.7948107 38.1777913),0.9990421455938696
Madison,MO,2004,2,POINT (-92.2098988 39.4736487),0.9995210727969348
Oklahoma,OK,2004,54,POINT (-97.5170536 35.4729886),0.9746168582375478
Cabell,WV,2004,5,POINT (-81.2314908 37.788725),0.9980842911877394
Hardee,FL,2005,2,POINT (-81.9629666 27.6371488),0.9995210727969348
Polk,FL,2005,20,POINT (-81.8239676 28.1825147),0.9909003831417624
Nez Perce,ID,2005,1,POINT (-116.2295209 43.587761),1.0
Franklin,KY,2005,73,POINT (-86.5772177 36.722263),0.9655172413793104
Dakota,MN,2005,5,POINT (-91.3598478 43.9138856),0.9980842911877394
Skamania,WA,2005,2,POINT (-122.041751 45.6173396),0.9995210727969348
Sheridan,WY,2005,1,POINT (-106.956179 44.797194),1.0
Morgan,AL,2006,5,POINT (-86.9166579 33.333723),0.9980842911877394
Marshall,KY,2006,1,POINT (-83.7629759 38.5450759),1.0
Oldham,KY,2006,2,POINT (-85.4210695 38.4975639),0.9995210727969348
Camden,MO,2006,1,POINT (-94.0230001 39.1972316),1.0
Greenville,SC,2006,26,POINT (-82.3984882 34.851354),0.9880268199233716
Fairfax,VA,2006,16,POINT (-77.3063733 38.8462236),0.992816091954023
Franklin,VT,2006,1,POINT (-72.915614 44.9817713),1.0
Manitowoc,WI,2006,1,POINT (-87.6575841 44.0886059),1.0
Wilcox,AL,2007,2,POINT (-86.8763619 31.5084965),0.9995210727969348
Fremont,CO,2007,3,POINT (-104.8357468 39.7488626),0.9990421455938696
Middlesex,MA,2007,14,POINT (-71.3467281 42.6348134),0.9937739463601531
Gaston,NC,2007,10,POINT (-77.6449804 36.5004281),0.9956896551724138
Jones,NC,2007,1,POINT (-76.689095 35.2898918),1.0
Newberry,SC,2007,4,POINT (-81.6188633 34.2753247),0.9985632183908046
Utah,UT,2007,3,POINT (-111.7023404 40.2368431),0.9990421455938696
York,VA,2007,1,POINT (-82.1254221 38.905913),1.0
Winston,AL,2008,1,POINT (-88.2159691 30.676187),1.0
Forrest,MS,2008,7,POINT (-89.3167289 31.3154526),0.9971264367816092
Albany,NY,2008,9,POINT (-73.754968 42.6511674),0.9961685823754788
Buchanan,VA,2008,2,POINT (-79.6797614 37.5273566),0.9995210727969348
Vilas,WI,2008,1,POINT (-89.3642462 45.2486428),1.0
Mineral,WV,2008,4,POINT (-81.8237283 37.733719),0.9985632183908046
Santa Cruz,AZ,2009,2,POINT (-111.90707 32.0345181),0.9995210727969348
Midland,MI,2009,5,POINT (-84.2472117 43.6155825),0.9980842911877394
Nicollet,MN,2009,1,POINT (-94.1874823 44.2760635),1.0
McDowell,NC,2009,3,POINT (-81.0030813 35.1010813),0.9990421455938696
Wake,NC,2009,26,POINT (-78.5103731 35.9803138),0.9880268199233716
Barnwell,SC,2009,3,POINT (-81.3587178 33.2448733),0.9990421455938696
Bastrop,TX,2009,4,POINT (-97.3152701 30.1104947),0.9985632183908046
Carson,TX,2009,1,POINT (-96.0058073 33.7020461),1.0
Sumter,FL,2010,4,POINT (-81.9747144 28.9082192),0.9985632183908046
Montgomery,IN,2010,2,POINT (-87.0461181 38.6625493),0.9995210727969348
Marion,KY,2010,1,POINT (-88.0811349 37.3328286),1.0
Ascension,LA,2010,5,POINT (-90.8823487 30.3133277),0.9980842911877394
Platte,MO,2010,5,POINT (-94.7795799 39.3671841),0.9980842911877394
McDowell,NC,2010,2,POINT (-81.0030813 35.1010813),0.9995210727969348
Beaver,PA,2010,8,POINT (-80.3047887 40.6953896),0.996647509578544
Gonzales,TX,2010,1,POINT (-97.4496293 29.5068721),1.0
Lincoln,MO,2011,3,POINT (-93.3346497 38.3908555),0.9990421455938696
Dauphin,PA,2011,14,POINT (-76.9333394 40.3678069),0.9937739463601531
Nacogdoches,TX,2011,1,POINT (-94.6559702 31.6037322),1.0
Franklin,VA,2011,2,POINT (-76.9224609 36.6776507),0.9995210727969348
Scott,MN,2013,2,POINT (-92.7696281 47.4496525),0.9995210727969348
Cass,MO,2013,1,POINT (-94.50706 38.8121435),1.0
DeSoto,MS,2013,1,POINT (-89.0432074 30.5731399),1.0
Florence,SC,2013,4,POINT (-79.7671658 34.1984435),0.9985632183908046
Umatilla,OR,2012,5,POINT (-119.342517 45.9173549),0.9980842911877394
Cooke,TX,2012,1,POINT (-101.7897078 33.5214053),1.0
Fairfax,VA,2012,16,POINT (-77.3063733 38.8462236),0.992816091954023
Duval,FL,2014,116,POINT (-81.8052354 24.5591121),0.9449233716475096
Paulding,GA,2014,2,POINT (-84.8221608 33.8114948),0.9995210727969348
Delaware,IN,2014,2,POINT (-85.2071816 39.1478313),0.9995210727969348
Garfield,NE,2014,1,POINT (-96.6939133 40.7868344),1.0
Niagara,NY,2014,7,POINT (-74.1302653 41.3163725),0.9971264367816092
Clermont,OH,2014,4,POINT (-84.1968655 39.0327039),0.9985632183908046
Hamilton,TN,2014,33,POINT (-82.2615242 36.4987144),0.9846743295019156
Brazoria,TX,2014,9,POINT (-95.5691126 29.0444147),0.9961685823754788
Martin,FL,2004,7,POINT (-82.190373 29.2938628),0.9971264367816092
Gregg,TX,2007,7,POINT (-97.5904291 30.3955045),0.9971264367816092
Jasper,IA,2010,1,POINT (-94.68691 42.1620676),1.0
Adair,OK,2010,1,POINT (-95.2713584 36.4367575),1.0
Lincoln,OK,2012,1,POINT (-99.7603725 34.4939594),1.0
Dillon,SC,2012,8,POINT (-79.3713948 34.4165391),0.996647509578544
Bernalillo,NM,2014,61,POINT (-106.551425 35.3009305),0.971264367816092
Hampton,SC,2014,2,POINT (-81.1139447 32.8701504),0.9995210727969348
Montague,TX,2014,2,POINT (-97.7204561 33.6648852),0.9995210727969348
Putnam,TN,1995,3,POINT (-85.4983996 36.1423085),0.9990421455938696
Wythe,VA,1995,3,POINT (-76.3777868 37.0032372),0.9990421455938696
Waukesha,WI,1995,3,POINT (-88.2314813 43.0116784),0.9990421455938696
Franklin,AR,1996,2,POINT (-91.7759792 36.170346),0.9995210727969348
Shoshone,ID,1996,1,POINT (-114.406017 42.9361293),1.0
Anoka,MN,1996,3,POINT (-93.3871758 45.1977428),0.9990421455938696
St. Louis,MO,1996,42,POINT (-90.1910154 38.6280278),0.9803639846743296
Hale,TX,1996,1,POINT (-101.844368 34.0644671),1.0
Wood,WV,1996,1,POINT (-81.9154142 38.7714727),1.0
Natrona,WY,1996,1,POINT (-106.8095349 43.0295649),1.0
Shasta,CA,1997,8,POINT (-122.4919571 40.5993165),0.996647509578544
Dade,FL,1997,293,POINT (-82.1959178 28.3647248),0.8601532567049809
Columbia,PA,1997,1,POINT (-76.5016402 40.032089),1.0
Greenwood,SC,1997,4,POINT (-82.1617883 34.1954001),0.9985632183908046
Fairfax,VA,1997,16,POINT (-77.3063733 38.8462236),0.992816091954023
Butler,AL,1998,2,POINT (-88.2219652 32.0895908),0.9995210727969348
Yellowstone,MT,1998,2,POINT (-111.1012064 44.6632056),0.9995210727969348
Essex,NJ,1998,105,POINT (-74.2845925 40.8245442),0.950191570881226
Franklin,PA,1998,7,POINT (-79.831444 41.397836),0.9971264367816092
Hancock,GA,1999,1,POINT (-83.8915751 32.7906951),1.0
St. Louis city,MO,1999,133,POINT (-90.1910154 38.6280278),0.9367816091954024
Blount,AL,2000,1,POINT (-86.7941636 33.9312115),1.0
Escambia,AL,2000,4,POINT (-87.3636916 31.0721361),0.9985632183908046
Geneva,AL,2000,1,POINT (-85.8764248 31.0411132),1.0
Jackson,AL,2000,1,POINT (-87.8944435 31.5090521),1.0
Yolo,CA,2000,6,POINT (-121.8077431 38.7318481),0.9976053639846744
Georgetown,SC,2000,4,POINT (-79.2944965 33.376834),0.9985632183908046
Prince George,VA,2000,1,POINT (-77.288033 37.2204272),1.0
Phillips,AR,2001,2,POINT (-90.5842757 35.816464),0.9995210727969348
Ventura,CA,2001,30,POINT (-119.293174 34.2783355),0.9861111111111112
Clinton,IN,2001,1,POINT (-87.3980741 39.6569817),1.0
St. Louis,MO,2001,23,POINT (-90.1910154 38.6280278),0.9894636015325672
Crawford,OH,2001,1,POINT (-83.3421447 40.9197777),1.0
Fayette,PA,2001,4,POINT (-79.918944 39.8222992),0.9985632183908046
Bastrop,TX,2001,3,POINT (-97.3152701 30.1104947),0.9990421455938696
Russell,AL,2002,3,POINT (-88.2319506 31.0562907),0.9990421455938696
Scott,AR,2002,1,POINT (-92.0879316 34.698008),1.0
De Soto,LA,2002,2,POINT (-93.6951819 32.029052),0.9995210727969348
Randolph,MO,2002,1,POINT (-94.4955088 39.1577814),1.0
McKinley,NM,2002,6,POINT (-106.3819637 34.6383935),0.9976053639846744
Otero,CO,2003,1,POINT (-104.9567165 39.5694563),1.0
Macon,MO,2003,1,POINT (-92.4726859 39.7422561),1.0
Lewis and Clark,MT,2003,1,POINT (-114.0112597 46.8366584),1.0
Burlington,NJ,2003,9,POINT (-74.8648859 40.0712218),0.9961685823754788
Oklahoma,OK,2003,60,POINT (-97.5170536 35.4729886),0.9717432950191572
Gaines,TX,2003,1,POINT (-102.8593256 32.7269654),1.0
Portsmouth,VA,2003,18,POINT (-76.297699 36.8320081),0.9918582375478928
Benton,WA,2003,5,POINT (-119.487802 46.2631897),0.9980842911877394
Waukesha,WI,2003,5,POINT (-88.2314813 43.0116784),0.9980842911877394
Litchfield,CT,2004,4,POINT (-73.1887243 41.747319),0.9985632183908046
Union,LA,2004,1,POINT (-90.9048191 30.0871441),1.0
Lucas,OH,2004,32,POINT (-82.41847 40.7037641),0.9851532567049808
Choctaw,OK,2004,1,POINT (-97.2689263 35.4975654),1.0
Walworth,WI,2004,1,POINT (-88.5995382 42.531099),1.0
Nevada,CA,2005,2,POINT (-117.217677 34.0658454),0.9995210727969348
Baltimore,MD,2005,42,POINT (-76.610759 39.2908816),0.9803639846743296
Benton,MN,2005,1,POINT (-96.287539 44.261079),1.0
Stark,OH,2005,6,POINT (-83.7374339 40.8339419),0.9976053639846744
Val Verde,TX,2005,1,POINT (-98.0811177 26.1761857),1.0
Northampton,VA,2005,1,POINT (-76.4238374 37.0451503),1.0
Laramie,WY,2005,6,POINT (-105.5917876 41.3116442),0.9976053639846744
Nevada,CA,2006,2,POINT (-117.217677 34.0658454),0.9995210727969348
Palm Beach,FL,2006,99,POINT (-80.0361517 26.7056172),0.9530651340996168
Whitfield,GA,2006,2,POINT (-84.45607 34.039136),0.9995210727969348
Porter,IN,2006,1,POINT (-87.0741735 41.6156584),1.0
York,PA,2006,11,POINT (-76.7276989 39.962493),0.9952107279693486
Davidson,TN,2006,84,POINT (-86.7742984 36.1622767),0.9602490421455938
Whatcom,WA,2006,1,POINT (-122.4829038 48.7550742),1.0
Indian River,FL,2007,2,POINT (-80.5023298 27.5998271),0.9995210727969348
Jefferson,LA,2007,63,POINT (-90.1529006 29.9665206),0.9703065134099615
Polk,MO,2007,2,POINT (-93.2993611 37.7292042),0.9995210727969348
Clark,NV,2007,171,POINT (-119.481755 39.5640019),0.9185823754789272
Chicot,AR,2008,1,POINT (-91.2865023 33.2056751),1.0
Tolland,CT,2008,3,POINT (-72.3677153 41.8700166),0.9990421455938696
Oglethorpe,GA,2008,1,POINT (-84.0610191 32.293769),1.0
Benewah,ID,2008,1,POINT (-116.7843354 47.2276807),1.0
Bladen,NC,2008,2,POINT (-78.4750062 34.537393),0.9995210727969348
Rockland,NY,2008,3,POINT (-74.9129403 41.9453663),0.9990421455938696
Susquehanna,PA,2008,3,POINT (-75.6041902 41.9439867),0.9990421455938696
Louisa,VA,2008,1,POINT (-78.0035745 38.0250438),1.0
Wayne,GA,2009,1,POINT (-83.9346257 34.1762127),1.0
Luna,NM,2009,1,POINT (-108.9545153 33.8189419),1.0
Dorchester,SC,2009,8,POINT (-79.9881442 32.8496198),0.996647509578544
Lincoln,WY,2009,1,POINT (-81.7456685 37.5862216),1.0
Bethel,AK,2010,2,POINT (-161.755833 60.7922222),0.9995210727969348
Carroll,GA,2010,2,POINT (-84.5113203 33.7737177),0.9995210727969348
Madison,GA,2010,1,POINT (-83.467944 33.5956814),1.0
Custer,NE,2010,1,POINT (-97.4263696 41.1917873),1.0
Franklin,VA,2010,4,POINT (-76.9224609 36.6776507),0.9985632183908046
Sonoma,CA,2011,11,POINT (-122.4578582 38.2919984),0.9952107279693486
Navarro,TX,2011,1,POINT (-96.3783131 31.99849),1.0
Garland,AR,2013,9,POINT (-93.7099012 33.3629029),0.9961685823754788
Marshall,KY,2013,2,POINT (-83.7629759 38.5450759),0.9995210727969348
Dakota,MN,2013,10,POINT (-91.3598478 43.9138856),0.9956896551724138
Clinton,OH,2013,1,POINT (-81.6304022 40.9267224),1.0
Columbiana,OH,2013,5,POINT (-80.6935916 40.8886356),0.9980842911877394
Wasco,OR,2013,1,POINT (-120.698155 45.5917107),1.0
Newberry,SC,2013,5,POINT (-81.6188633 34.2753247),0.9980842911877394
Chambers,TX,2013,1,POINT (-97.0079766 32.3117158),1.0
Grayson,TX,2013,7,POINT (-97.8632625 30.6342218),0.9971264367816092
Rock,WI,2013,4,POINT (-89.1036638 42.628104),0.9985632183908046
Norfolk,MA,2012,4,POINT (-71.3250564 42.1195426),0.9985632183908046
Alpena,MI,2012,1,POINT (-83.4327528 45.0616794),1.0
Wake,NC,2012,23,POINT (-78.5103731 35.9803138),0.9894636015325672
Sullivan,NH,2012,2,POINT (-72.2213782 43.0125418),0.9995210727969348
Campbell,TN,2012,1,POINT (-85.5360883 36.0820069),1.0
Roane,TN,2012,1,POINT (-84.3481296 35.8894436),1.0
Pinal,AZ,2014,12,POINT (-110.7537196 33.3761673),0.9947318007662836
Sumter,FL,2014,2,POINT (-81.9747144 28.9082192),0.9995210727969348
Cherokee,GA,2014,1,POINT (-83.7696277 32.8581945),1.0
Crisp,GA,2014,2,POINT (-83.6796135 31.9568419),0.9995210727969348
Van Buren,MI,2014,2,POINT (-83.4841464 42.2207982),0.9995210727969348
Franklin,NC,2014,2,POINT (-83.3815429 35.1823171),0.9995210727969348
Chenango,NY,2014,3,POINT (-75.8979428 42.197622),0.9990421455938696
McNairy,TN,2014,3,POINT (-88.6272722 35.3120246),0.9990421455938696
Ross,OH,1999,2,POINT (-84.6507966 39.312296),0.9995210727969348
Hancock,GA,2001,2,POINT (-83.8915751 32.7906951),0.9995210727969348
Lehigh,PA,2004,17,POINT (-75.608242 40.7767611),0.992337164750958
Knox,TN,2005,29,POINT (-86.7996516 36.1979846),0.9865900383141762
Sumter,SC,2009,14,POINT (-80.3414693 33.9204354),0.9937739463601531
Saginaw,MI,2012,30,POINT (-83.9490365 43.4200387),0.9861111111111112
Atascosa,TX,2012,3,POINT (-98.7319673 29.2669044),0.9990421455938696
Columbia,WI,2014,1,POINT (-90.7198643 44.5163511),1.0
Parker,TX,1995,3,POINT (-96.6220692 33.0555687),0.9990421455938696
Santa Barbara,CA,1996,15,POINT (-119.702667 34.4221319),0.9932950191570882
McIntosh,GA,1996,3,POINT (-81.5235273 31.8257693),0.9990421455938696
Stephens,GA,1996,2,POINT (-83.1615422 33.794843),0.9995210727969348
Audrain,MO,1996,2,POINT (-91.5365403 39.3100237),0.9995210727969348
Chenango,NY,1996,2,POINT (-75.8979428 42.197622),0.9995210727969348
Kerr,TX,1996,3,POINT (-96.8518036 32.9220168),0.9990421455938696
Van Zandt,TX,1996,2,POINT (-97.3816399 32.9286989),0.9995210727969348
Louisa,VA,1996,1,POINT (-78.0035745 38.0250438),1.0
Laramie,WY,1996,2,POINT (-105.5917876 41.3116442),0.9995210727969348
Decatur,GA,1997,3,POINT (-84.296069 33.7737582),0.9990421455938696
Scott,IA,1997,3,POINT (-91.7654411 42.7019277),0.9990421455938696
Cabarrus,NC,1997,8,POINT (-80.5417335 35.2370876),0.996647509578544
Comanche,TX,1997,1,POINT (-98.6040074 31.8975584),1.0
Fremont,CO,1998,1,POINT (-104.8357468 39.7488626),1.0
Stokes,NC,1998,3,POINT (-77.2646852 35.7165488),0.9990421455938696
Bernalillo,NM,1998,58,POINT (-106.551425 35.3009305),0.9727011494252874
Muskogee,OK,1998,7,POINT (-95.3696909 35.7478769),0.9971264367816092
Bamberg,SC,1998,2,POINT (-81.0348202 33.2971012),0.9995210727969348
Contra Costa,CA,1999,62,POINT (-122.054374 37.9265354),0.9707854406130269
Bibb,GA,1999,32,POINT (-84.9918764 32.4956975),0.9851532567049808
Chatham,GA,1999,44,POINT (-83.4169105 33.9980577),0.9794061302681992
Frederick,MD,1999,2,POINT (-77.4127562 39.415779),0.9995210727969348
Dutchess,NY,1999,13,POINT (-73.9787503 41.4745382),0.9942528735632185
Wayne,NY,1999,2,POINT (-77.1055262 42.4709046),0.9995210727969348
Greene,OH,1999,1,POINT (-80.7630634 41.4622053),1.0
Wyoming,PA,1999,1,POINT (-75.8374174 41.3117471),1.0
Kershaw,SC,1999,4,POINT (-80.5832479 34.5517286),0.9985632183908046
Jasper,TX,1999,2,POINT (-93.9965759 30.9201995),0.9995210727969348
Placer,CA,2000,5,POINT (-122.4280707 40.5658298),0.9980842911877394
Escambia,FL,2000,24,POINT (-86.6330096 30.9579598),0.988984674329502
Monroe,MI,2000,6,POINT (-83.3968252 41.9145037),0.9976053639846744
York,NE,2000,1,POINT (-97.5919166 40.8680593),1.0
Duplin,NC,2000,3,POINT (-77.980414 34.9609444),0.9990421455938696
Okmulgee,OK,2000,2,POINT (-95.9719711 35.6230879),0.9995210727969348
Augusta,VA,2000,2,POINT (-78.6377912 39.2953787),0.9995210727969348
Norfolk,VA,2000,44,POINT (-76.2899539 36.8493695),0.9794061302681992
Santa Cruz,AZ,2001,2,POINT (-111.90707 32.0345181),0.9995210727969348
Hopewell,VA,2001,1,POINT (-77.2872001 37.3043154),1.0
Lawrence,AL,2002,1,POINT (-85.5310715 34.2323159),1.0
Berrien,MI,2002,8,POINT (-86.2756113 41.9420995),0.996647509578544
Franklin,AL,2003,2,POINT (-85.8024562 32.4784706),0.9995210727969348
Spalding,GA,2003,5,POINT (-83.9985963 32.2935267),0.9980842911877394
Randolph,NC,2003,3,POINT (-80.793835 35.1742534),0.9990421455938696
Falls,TX,2003,2,POINT (-99.7047029 29.5060087),0.9995210727969348
Albemarle,VA,2003,5,POINT (-76.2372684 36.7177596),0.9980842911877394
Columbia,WI,2003,1,POINT (-90.7198643 44.5163511),1.0
Marathon,WI,2003,1,POINT (-89.7782255 44.9034972),1.0
Hamilton,IN,2004,1,POINT (-84.9123697 41.5335996),1.0
Butler,MO,2004,2,POINT (-94.3329016 38.2587399),0.9995210727969348
Adams,PA,2004,1,POINT (-79.6424845 40.940948),1.0
Westmoreland,VA,2004,3,POINT (-76.5588445 38.0642959),0.9990421455938696
Pendleton,WV,2004,1,POINT (-79.4954057 39.1191782),1.0
Talbot,GA,2005,2,POINT (-84.6921532 32.5881789),0.9995210727969348
Ionia,MI,2005,2,POINT (-85.0711174 42.9872547),0.9995210727969348
Nash,NC,2005,12,POINT (-78.6728453 35.9888734),0.9947318007662836
Chester,SC,2005,2,POINT (-81.2142561 34.7048613),0.9995210727969348
Nottoway,VA,2005,2,POINT (-78.0797604 37.1285656),0.9995210727969348
Whitman,WA,2005,3,POINT (-117.3844326 47.707871),0.9990421455938696
Litchfield,CT,2006,1,POINT (-73.1887243 41.747319),1.0
Simpson,MS,2006,4,POINT (-89.337007 31.8423803),0.9985632183908046
Duplin,NC,2006,5,POINT (-77.980414 34.9609444),0.9980842911877394
Cherokee,SC,2006,1,POINT (-81.8909376 35.0498442),1.0
Dyer,TN,2006,1,POINT (-88.9939549 36.0667348),1.0
Culpeper,VA,2006,1,POINT (-77.9961275 38.4733823),1.0
Cowlitz,WA,2006,7,POINT (-122.8426166 46.4587191),0.9971264367816092
Contra Costa,CA,2007,103,POINT (-122.054374 37.9265354),0.9511494252873564
San Francisco,CA,2007,101,POINT (-122.4193286 37.7792588),0.9521072796934866
Leavenworth,KS,2007,1,POINT (-94.922759 39.3113257),1.0
Aitkin,MN,2007,1,POINT (-93.7096936 46.5333985),1.0
Richland,SC,2007,39,POINT (-83.0254288 34.6778757),0.9818007662835248
Jones,TX,2007,1,POINT (-102.3591536 31.8528072),1.0
Richmond,VA,2007,55,POINT (-77.43428 37.5385087),0.9741379310344828
Outagamie,WI,2007,1,POINT (-88.4103672 44.2589232),1.0
Cherokee,GA,2008,2,POINT (-83.7696277 32.8581945),0.9995210727969348
Dawson,NE,2008,3,POINT (-95.830549 40.131112),0.9990421455938696
San Miguel,NM,2008,2,POINT (-106.734999 32.1553751),0.9995210727969348
Fulton,NY,2008,1,POINT (-74.453611 42.571111),1.0
Carroll,GA,2009,7,POINT (-84.5113203 33.7737177),0.9971264367816092
St. Joseph,IN,2009,17,POINT (-86.1538016 39.7787136),0.992337164750958
Jackson,MS,2009,7,POINT (-90.1830408 32.2998686),0.9971264367816092
Hardin,TN,2009,1,POINT (-84.1850671 35.9311512),1.0
Liberty,TX,2009,5,POINT (-94.7971809 30.0609147),0.9980842911877394
Sabine,TX,2009,1,POINT (-93.871554 29.7199416),1.0
Virginia Beach,VA,2009,19,POINT (-75.9760751 36.8496579),0.9913793103448276
Randolph,AL,2010,1,POINT (-86.910823 32.8995691),1.0
Hot Spring,AR,2010,1,POINT (-92.8681111 34.2977104),1.0
Arapahoe,CO,2010,30,POINT (-102.1775371 38.8538252),0.9861111111111112
Grady,GA,2010,1,POINT (-84.2152498 30.8949184),1.0
Polk,IA,2010,7,POINT (-93.7137441 41.7712593),0.9971264367816092
Lincoln,MT,2010,1,POINT (-112.699302 46.944674),1.0
Lancaster,VA,2010,2,POINT (-76.4663391 37.7698602),0.9995210727969348
Lincoln,AR,2011,1,POINT (-94.4233612 35.9494569),1.0
Arapahoe,CO,2011,15,POINT (-102.1775371 38.8538252),0.9932950191570882
Wyandotte,KS,2011,27,POINT (-94.661112 39.0531539),0.9875478927203064
Madison,MS,2011,4,POINT (-90.1153638 32.4618086),0.9985632183908046
Chester,SC,2011,1,POINT (-81.2142561 34.7048613),1.0
Pasco,FL,2012,14,POINT (-82.3370334 28.3247263),0.9937739463601531
Callaway,MO,2013,1,POINT (-91.9501796 38.9161525),1.0
Pender,NC,2013,2,POINT (-77.592753 36.3104307),0.9995210727969348
Hillsborough,NH,2013,12,POINT (-71.8948666 43.1149568),0.9947318007662836
Caddo,OK,2013,1,POINT (-96.2633229 34.1267595),1.0
Cooke,TX,2013,2,POINT (-101.7897078 33.5214053),0.9995210727969348
Grand Isle,VT,2013,1,POINT (-73.2931129 44.722515),1.0
Ouachita,AR,2012,2,POINT (-92.8293307 33.8523265),0.9995210727969348
