county,state,year,number_of_crimes,geometry,crime_ranking
Bennington,VT,2014,1,POINT (-73.1968205 42.8788667),1.0
Saguache,CO,1999,1,POINT (-106.1420844 38.0875389),1.0
Kootenai,ID,2003,1,POINT (-116.513525 48.3102038),1.0
Randolph,MO,2003,1,POINT (-94.4955088 39.1577814),1.0
Staunton,VA,2003,1,POINT (-79.072557 38.1495947),1.0
Virginia Beach,VA,2005,20,POINT (-75.9760751 36.8496579),0.9909003831417624
West Baton Rouge,LA,2007,3,POINT (-91.2051079 30.4501907),0.9990421455938696
Plymouth,MA,2011,15,POINT (-70.6673851 41.9583799),0.9932950191570882
Bonneville,ID,2013,2,POINT (-116.0983901 43.5334572),0.9995210727969348
Atkinson,GA,2012,1,POINT (-81.8526121 31.2232805),1.0
Deschutes,OR,1995,1,POINT (-121.2586995 44.1569232),1.0
Glenn,CA,1996,1,POINT (-122.0138651 39.5218283),1.0
Limestone,TX,1996,3,POINT (-97.6755441 30.3909145),0.9990421455938696
Terry,TX,1996,3,POINT (-93.9326731 30.0996556),0.9990421455938696
Newport News,VA,1996,24,POINT (-76.42977 36.9775016),0.988984674329502
Dane,WI,1996,2,POINT (-89.5015088 43.2505472),0.9995210727969348
Lincoln,WV,1996,2,POINT (-81.7456685 37.5862216),0.9995210727969348
Pointe Coupee,LA,1997,3,POINT (-91.4331693 30.7343507),0.9990421455938696
Colleton,SC,1997,6,POINT (-80.882323 33.0398845),0.9976053639846744
Pennington,SD,1997,2,POINT (-103.1944283 44.0503329),0.9995210727969348
Hidalgo,TX,1997,28,POINT (-98.2577597 26.1019892),0.9870689655172412
Page,VA,1997,1,POINT (-81.9954056 37.1798335),1.0
Mineral,WV,1997,1,POINT (-81.8237283 37.733719),1.0
Citrus,FL,1998,3,POINT (-81.6770547 28.3550481),0.9990421455938696
Glynn,GA,1998,1,POINT (-81.527325 31.2221733),1.0
Carroll,IN,1999,1,POINT (-85.190543 41.1963024),1.0
Goodhue,MN,1999,2,POINT (-92.6225676 44.3999369),0.9995210727969348
Randolph,NC,1999,6,POINT (-80.793835 35.1742534),0.9976053639846744
Waldo,ME,2000,1,POINT (-69.0761484 44.5125736),1.0
Columbia,OR,2000,1,POINT (-122.4058411 45.5267129),1.0
Charleston,SC,2000,18,POINT (-79.9399309 32.7884363),0.9918582375478928
Colbert,AL,2001,2,POINT (-85.2366056 32.2826476),0.9995210727969348
Elmore,AL,2001,2,POINT (-86.3149712 32.5387448),0.9995210727969348
Macon,AL,2001,4,POINT (-86.0771944 33.7306556),0.9985632183908046
Grady,GA,2001,2,POINT (-84.2152498 30.8949184),0.9995210727969348
Lafourche,LA,2001,3,POINT (-90.7659249 29.7671535),0.9990421455938696
Lincoln,OR,2001,5,POINT (-122.4030776 42.1087496),0.9980842911877394
Newton,GA,2002,2,POINT (-84.3357424 31.3129575),0.9995210727969348
Santa Fe,NM,2002,21,POINT (-105.938456 35.6876096),0.9904214559386972
Dinwiddie,VA,2002,3,POINT (-77.586655 37.0779278),0.9990421455938696
Cleburne,AL,2003,1,POINT (-85.6296817 33.6481612),1.0
Coffee,GA,2003,6,POINT (-82.3115156 31.507709),0.9976053639846744
Sedgwick,KS,2003,21,POINT (-97.4225411 37.9166785),0.9904214559386972
Meigs,OH,2003,1,POINT (-81.7751327 39.6903496),1.0
Imperial,CA,2004,4,POINT (-115.569439 32.8475529),0.9985632183908046
Eddy,NM,2004,3,POINT (-104.237612 32.4257456),0.9990421455938696
Otsego,NY,2004,1,POINT (-74.958889 42.734722),1.0
Carbon,PA,2004,4,POINT (-79.5603181 40.2903472),0.9985632183908046
Franklin,PA,2004,2,POINT (-79.831444 41.397836),0.9995210727969348
Hardin,TX,2004,1,POINT (-94.739089 30.1524348),1.0
Wilcox,AL,2005,1,POINT (-86.8763619 31.5084965),1.0
Montrose,CO,2005,1,POINT (-107.876277 38.4781927),1.0
Jackson,NC,2005,1,POINT (-77.4214855 36.3896747),1.0
Portage,OH,2005,8,POINT (-83.6507668 41.3267189),0.996647509578544
Pittsburg,OK,2005,1,POINT (-95.8499898 34.7131522),1.0
Webb,TX,2005,23,POINT (-97.074175 32.6326345),0.9894636015325672
Outagamie,WI,2005,2,POINT (-88.4103672 44.2589232),0.9995210727969348
Logan,WV,2005,4,POINT (-81.9932151 37.8487778),0.9985632183908046
Boone,AR,2006,3,POINT (-93.021009 36.4736776),0.9990421455938696
Fresno,CA,2006,78,POINT (-119.78483 36.7394421),0.9631226053639846
Rabun,GA,2006,1,POINT (-83.3864536 34.9572143),1.0
Oklahoma,OK,2006,69,POINT (-97.5170536 35.4729886),0.9674329501915708
Jasper,SC,2006,8,POINT (-79.9432627 32.7758279),0.996647509578544
Starr,TX,2006,5,POINT (-98.1922329 26.1622972),0.9980842911877394
Bradley,AR,2007,1,POINT (-93.6548984 33.0981881),1.0
Becker,MN,2007,1,POINT (-93.8768904 45.3931821),1.0
Chambers,TX,2007,2,POINT (-97.0079766 32.3117158),0.9995210727969348
Oconto,WI,2007,1,POINT (-87.8696182 44.8880199),1.0
San Diego,CA,2008,90,POINT (-117.162772 32.7174202),0.9573754789272032
Laurens,GA,2008,2,POINT (-83.1459865 32.5207193),0.9995210727969348
Columbiana,OH,2008,2,POINT (-80.6935916 40.8886356),0.9995210727969348
Crosby,TX,2008,1,POINT (-95.0632549 29.91154),1.0
Bibb,GA,2009,22,POINT (-84.9918764 32.4956975),0.9899425287356322
Warren,KY,2009,8,POINT (-83.8440895 36.7534188),0.996647509578544
Oakland,MI,2009,21,POINT (-83.1115505 42.5376509),0.9904214559386972
Shawnee,KS,2010,16,POINT (-94.7145415 39.0229714),0.992816091954023
Newaygo,MI,2010,2,POINT (-85.800051 43.419743),0.9995210727969348
Camden,MO,2010,6,POINT (-94.0230001 39.1972316),0.9976053639846744
Passaic,NJ,2010,28,POINT (-74.1286298 40.8566936),0.9870689655172412
Warren,OH,2010,1,POINT (-80.8190423 41.2367955),1.0
Stewart,TN,2010,1,POINT (-87.8414143 36.3206104),1.0
Angelina,TX,2010,4,POINT (-94.7069743 31.3658498),0.9985632183908046
Bedford,VA,2010,3,POINT (-79.5235083 37.3344561),0.9990421455938696
Powhatan,VA,2010,2,POINT (-77.9190619 37.5420237),0.9995210727969348
Gila,AZ,2011,1,POINT (-112.716823 32.9478267),1.0
Sumter,FL,2011,1,POINT (-81.9747144 28.9082192),1.0
Dougherty,GA,2011,13,POINT (-84.0649113 34.3823179),0.9942528735632185
Adair,KY,2011,6,POINT (-86.8266569 37.9506102),0.9976053639846744
Carson City city,NV,2011,5,POINT (-119.7670374 39.1663259),0.9980842911877394
Galveston,TX,2011,17,POINT (-94.7933252 29.3056996),0.992337164750958
Randolph,MO,2013,1,POINT (-94.4955088 39.1577814),1.0
