state,county,total_cost,cost_of_living_ranking,geometry
MA,Middlesex,37470.95075999999,0.4398058740766298,POINT (-74.494037 40.5734911)
AR,Lincoln,18540.300704,0.9791358646004706,POINT (-94.4233612 35.9494569)
GA,Douglas,24362.238008000004,0.8132701715731188,POINT (-82.8498654 31.5088073)
MS,Clay,19684.190432,0.946546701822776,POINT (-88.3372675 34.2701035)
AL,Montgomery,23312.052270000004,0.8431897286114833,POINT (-86.3091683 32.37742)
AR,Hot Spring,19357.61577,0.9558507409783656,POINT (-92.8681111 34.2977104)
CO,Montrose,22466.22226,0.8672872366172107,POINT (-107.876277 38.4781927)
FL,Dixie,20910.054584,0.9116221060204184,POINT (-82.3025888 28.4349991)
FL,Sarasota,25292.121926,0.7867779865081765,POINT (-82.5308545 27.3365805)
ID,Franklin,21306.556002,0.9003258692097416,POINT (-111.8041815 42.0168752)
IL,Alexander,21952.533072,0.8819221268125651,POINT (-90.0381679 39.7244928)
IN,Benton,22414.113134000003,0.8687718139744935,POINT (-85.7611016 41.509216)
KS,Leavenworth,25216.834252000004,0.7889229155193231,POINT (-94.922759 39.3113257)
KS,Reno,20597.556652,0.9205251022833948,POINT (-95.1199698 39.0511131)
MN,Itasca,20913.016462000003,0.9115377227779544,POINT (-95.2125186 47.2538462)
MO,Howell,18329.182042,0.9851505881117628,POINT (-90.6109566 38.7431078)
AL,Calhoun,21123.894004,0.9055298687215904,POINT (-86.5449739 32.0501467)
KS,Pawnee,21366.059734,0.898630621179655,POINT (-98.9809292 38.2652911)
MI,Muskegon,20929.655382,0.9110636836646976,POINT (-86.2483921 43.2341813)
CA,Napa,35275.4979,0.5023538355400052,POINT (-122.2855293 38.2971367)
FL,Gilchrist,21274.569032000003,0.9012371708383676,POINT (-81.8923081 26.7753447)
ID,Bingham,21005.253818,0.9089099011136026,POINT (-112.3645829 43.1900976)
IN,Knox,20265.729712,0.9299787776657163,POINT (-86.6233079 41.2974406)
KY,Franklin,20896.938426,0.911995782431367,POINT (-86.5772177 36.722263)
